MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,124,,
j.6B,290,,
Throw,276,,
gAT,272,,
AT,271,,
22A,170,,
22B,171,,
22C,172,,
j.63214C,181,,
236A,160,,
236B,161,,
236C,162,,
623A,230,,
623B,231,,
623C,232,,
214A,150,0,
214B,151,,
214C,152,,
j.236A,195,,
j.236B,196,,
j.236C,197,,
j.214A,240,0,
j.214B,241,,
j.214C,242,,
AD,300,,
AAD,301,,
214D,72,,
Shield Counter,72,,
Jump SC,,,
5D,56,0,
2D,57,0,
j.5D,58,0,
dash,60,0,
airdash,63,0,
22D,90,0,
j.214X,201,,
214A(detonate),200,,
fly,90,,
22D,90,,
22D,90,,
22D~6,210,,
22D~4/2,211,,
