MoveName,SequenceNumber,IsHit(does the move cause a hit,FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
5B~B,45,,
5B~[B],45,,
Throw,59,,
Grab,59,,
gAT,273,,
AT,272,,
22A,114,,
22B,451,,
22[B],451,,
22C,116,,
214A,110,,
214B,111,,
c.214B,111,,
f.214B,111,,
214C,113,,
623A,460,,
623A~A,463,,
623B,461,,
623B~B,463,,
623C,462,,
41236C,199,,
AD,199,,
AAD,200,,
AD(~2),207,,
j.22,82,No,
236A,160,,
236B,161,,
236C,162,,
Dash,56,0,
dash,56,0,
airdash,80,0,
Airdash,80,0,
