MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.C,9,,
5B~B,45,,
5B~[B],45,,
Throw,59,,
gAT,273,,
AT,272,,
6B,130,,
6[B],130,,
22A,245,,
22B,246,0,
22B~D,223,0,
22C,234,,
22D,247,,
j.22A,451,,
j.22B,452,,
j.22C,450,,
63214C,,,
236A,105,,
236B,106,,
236C,107,,
623A,455,,
623B,456,,
623C,457,,
j.623A,466,,
j.623B,467,,
j.623C,458,,
623A~A,455,,
623B~B,456,,
214A,110,,
214B,111,,
214C,112,,
421A,,,
421B,,,
421C,,,
AD,200,,
AAD,204,,
j.IH,,,
IH,0,,
214D,122,,
Shield Counter,,,
Jump SC,,,
5D,,,
2D,,,
j.5D,,,
airdash,80,0,
airbackdash,81,0,
jc8,36,0,
