MoveName,SequenceNumber,IsHit(does the move cause a hit?),FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.2A,434,,
j.2B,433,,
j.2C,432,,
gAT,273,,
AT,272,,
66,56,0,
44,55,0,
j.66,80,0,
Airdash,80,0,
j.44,81,0,
Airbackdash,81,0,
j.22,82,0,
236A,470,,
236X~236A,471,,
236X~236X~236A,472,,
236B,473,,
236X~236B,474,,
236X~236X~236B,475,,
236C,426,,
236C (3-6),427,,
236C (7) (hit only),428,,
623A,118,,
623A~X,127,0,
623B,119,,
623B~X,125,,
623C,120,,
214A,110,,
214B,111,,
214C (whiff),112,0,
214C,113,,
22A,114,0,
22B,115,0,
22C,116,0,
41236C (Max/Heat),199,,
41236C (Max/Heat) (hit),202,,
41236C~2 (Max/Heat),207,,
41236C~2 (Max/Heat) (hit),208,,
41236C (B. Heat),200,0,
41236C (B. Heat) (hit),203,,
Last Arc,210,,
Last Arc (hit),214,,
Arc Drive,202,,
AD,199,,
AAD,203,,
AD(~2),207,,
IH,0,0,
j.IH,266,0,
