MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
6A,162,,
6AA,163,,
5A6A,162,,
5A6AA,163,,
4C,153,,
6B,154,,
3C,157,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
236A,85,,
236B,86,0,
236B236A,90,,
236B236B,91,,
236B236C,92,,
236C,87,,
214A,125,,
214B,126,,
214C,132,,
623A,105,,
623A623A,196,,
623B,106,,
623C,107,,
j.236A,115,,
j.236A236A,196,,
j.236B,116,,
j.236C,117,,
j.214A,140,,
j.214B,141,,
j.214C,137,,
